1694924796.123276 client started (29828): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1694924796.123325 on Darwin 22.5.0 Darwin Kernel Version 22.5.0: Thu Jun  8 22:22:20 PDT 2023; root:xnu-8796.121.3~7/RELEASE_ARM64_T6000
1694924796.123359 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1694924796.127885 sending message 105 to peer 0x130008000 (11 bytes)
1694924796.127888 sending message 105 to peer 0x130008000 (8 bytes)
1694924796.127892 sending message 105 to peer 0x130008000 (32 bytes)
1694924796.127896 sending message 105 to peer 0x130008000 (10 bytes)
1694924796.127899 sending message 105 to peer 0x130008000 (28 bytes)
1694924796.127903 sending message 105 to peer 0x130008000 (16 bytes)
1694924796.127906 sending message 105 to peer 0x130008000 (55 bytes)
1694924796.127910 sending message 105 to peer 0x130008000 (64 bytes)
1694924796.127913 sending message 105 to peer 0x130008000 (68 bytes)
1694924796.127917 sending message 105 to peer 0x130008000 (70 bytes)
1694924796.127921 sending message 105 to peer 0x130008000 (76 bytes)
1694924796.127924 sending message 105 to peer 0x130008000 (72 bytes)
1694924796.127928 sending message 105 to peer 0x130008000 (74 bytes)
1694924796.127931 sending message 105 to peer 0x130008000 (76 bytes)
1694924796.127935 sending message 105 to peer 0x130008000 (72 bytes)
1694924796.127938 sending message 105 to peer 0x130008000 (70 bytes)
1694924796.127942 sending message 105 to peer 0x130008000 (76 bytes)
1694924796.127945 sending message 105 to peer 0x130008000 (76 bytes)
1694924796.127949 sending message 105 to peer 0x130008000 (74 bytes)
1694924796.127953 sending message 105 to peer 0x130008000 (78 bytes)
1694924796.127956 sending message 105 to peer 0x130008000 (74 bytes)
1694924796.127960 sending message 105 to peer 0x130008000 (92 bytes)
1694924796.127963 sending message 105 to peer 0x130008000 (90 bytes)
1694924796.127967 sending message 105 to peer 0x130008000 (72 bytes)
1694924796.127971 sending message 105 to peer 0x130008000 (84 bytes)
1694924796.127974 sending message 105 to peer 0x130008000 (25 bytes)
1694924796.127978 sending message 106 to peer 0x130008000 (0 bytes)
1694924796.128028 sending message 200 to peer 0x130008000 (4 bytes)
1694924796.128034 client loop enter
1694924796.128204 peer 0x130008000 message 303
1694924796.128217 open write file 2 -
1694924796.128234 sending message 305 to peer 0x130008000 (8 bytes)
1694924796.128244 write check file 2
1694924796.128281 peer 0x130008000 message 304
1694924796.128288 write 58 to file 2
1694924796.128293 peer 0x130008000 message 203
1694924796.128297 file 2 58 bytes left
1694924796.128308 write check file 2
1694924796.128312 client loop exit
